userID	firstname	lastname	email	salt	dob	registerDateTime
1	Steve	Rogers	Marvel_Steve@gmail.com	63652315D22919A8EC76F58F982EC08A6244474F8082B8E75A1271B3C63948E9	1918/7/4	2019/6/6
2	Tony	Stark	Marvel_Tony@gmail.com	AA52032EAB8CC92F7B77CCE828940F95C2369F18DDF1C6B3A80A8A6195D137FB	1970/5/29	2019/6/7
3	Thor	God	Marvel_Thor@gmail.com	3C567E0EA40F26755BB221C96AB02CC726DE673E85016EC1D949D14E5B16B223	1911/1/1	2019/6/8
4	Peter	Parker	Marvel_Peter@gmail.com	95B79B147E492681F98C749E3AC329C1A975D3F4000FF25D0643D8D55A4E4E2B	2000/8/10	2019/6/9
5	David	Banner	Marvel_David @gmail.com	EB7F11AE33003238D3FF14094E3BC569F077B8F39DF472423FD339CE22B5F050	1980/11/22	2019/6/10
6	Natasha	Romanoff	Marvel_Natasha@gmail.com	5F79D14FB8A43CA9350E781EA1067B14B197D36671182C4C15E9EDBD921791DD	1984/11/22	2019/6/11
7	Wanda	Maximoff	Marvel_Wanda@gmail.com	9C681B6D73E80D3C1F10E06BDEB48914ABE207ADA83405DC14485B6AD060C021	1980/8/2	2019/6/12
8	Carol	Danvers	Marvel_Carol@gmail.com	6C40F0CC5D46DCE7D1A0E1D118E0750A7874087FC7199DDA34D171131002DCA9	1980/8/1	2019/6/13
9	Stephen	Strange	Marvel_Stephen@gmail.com	039FB5567A6B559BE9999BF854BEF1699A14CB912AF431CCF90D9941900D8788	1930/7/1	2019/6/14
10	Clint	Barton	Marvel_Clint@gmail.com	ABC1523C0333408EFF2B8CCF4248A0B2175723EBC65C8D05940B9D434B7A39A2	1971/1/7	2019/6/15
